PLAYER INPUT STATS,,,,,,,,,,,,,,,,,
Match ID,Date,Opponent,Match,Side,Game #,Result,Player,Role,Hero,Kills,Deaths,Assists,Gold,Hero Damage,Tower Damage,Damage Taken,Kill Participation
001,2026-03-20,APBR,MPL PH S17 Regular Season,Red,1,L,Jeymz,EXP,Lapu-Lapu,2,1,6,"15,326","45,770","5,640","149,730",72.7%
001,2026-03-20,APBR,MPL PH S17 Regular Season,Red,1,L,Raizen.,Jungle,Baxia,4,6,5,"12,114","27,772",21,"221,294",81.8%
001,2026-03-20,APBR,MPL PH S17 Regular Season,Red,1,L,Minguin,Mid,Yve,4,4,5,"13,465","44,137","1,992","42,383",81.8%
001,2026-03-20,APBR,MPL PH S17 Regular Season,Red,1,L,Netskie,Gold,Hanabi,1,3,6,"17,122","80,699","18,830","102,614",63.6%
001,2026-03-20,APBR,MPL PH S17 Regular Season,Red,1,L,Perkziva,Roam,Marcel,0,2,10,"12,387","44,003",832,"138,671",90.9%
002,2026-03-20,APBR,MPL PH S17 Regular Season,Blue,2,L,Jeymz,EXP,Sora,1,5,1,"6,739","31,076",0,"98,328",66.7%
002,2026-03-20,APBR,MPL PH S17 Regular Season,Blue,2,L,Raizen.,Jungle,Fanny,1,2,0,"10,259","32,935","1,778","49,582",33.3%
002,2026-03-20,APBR,MPL PH S17 Regular Season,Blue,2,L,Minguin,Mid,Yve,1,1,1,"7,501","30,283",0,"31,478",66.7%
002,2026-03-20,APBR,MPL PH S17 Regular Season,Blue,2,L,Netskie,Gold,Harith,0,2,1,"9,976","23,700","2,868","42,604",33.3%
002,2026-03-20,APBR,MPL PH S17 Regular Season,Blue,2,L,Perkziva,Roam,Chou,0,5,3,"7,308","13,184",0,"90,500",100.0%
003,2026-03-27,TWIS,MPL PH S17 Regular Season,Red,1,L,Jeymz,EXP,Cici,0,1,1,"5,859","20,768",0,"55,792",50.0%
003,2026-03-27,TWIS,MPL PH S17 Regular Season,Red,1,L,Raizen.,Jungle,Fredrinn,0,5,2,"5,372","8,372",0,"81,626",100.0%
003,2026-03-27,TWIS,MPL PH S17 Regular Season,Red,1,L,Minguin,Mid,Kimmy,2,3,0,"5,394","24,732",0,"20,869",100.0%
003,2026-03-27,TWIS,MPL PH S17 Regular Season,Red,1,L,Netskie,Gold,Claude,0,1,0,"6,364","23,375",0,"36,413",0.0%
003,2026-03-27,TWIS,MPL PH S17 Regular Season,Red,1,L,Perkziva,Roam,Hilda,0,6,2,"4,878","19,722",0,"102,098",100.0%
004,2026-03-27,TWIS,MPL PH S17 Regular Season,Blue,2,W,Jeymz,EXP,Lapu-Lapu,1,0,4,"8,712","19,728","2,939","75,632",45.5%
004,2026-03-27,TWIS,MPL PH S17 Regular Season,Blue,2,W,Raizen.,Jungle,Suyou,4,3,4,"11,156","30,819",736,"53,793",72.7%
004,2026-03-27,TWIS,MPL PH S17 Regular Season,Blue,2,W,Minguin,Mid,Kimmy,1,1,3,"8,924","19,384","3,372","16,834",36.4%
004,2026-03-27,TWIS,MPL PH S17 Regular Season,Blue,2,W,Netskie,Gold,Freya,3,1,5,"11,660","43,166","16,120","90,855",72.7%
004,2026-03-27,TWIS,MPL PH S17 Regular Season,Blue,2,W,Perkziva,Roam,Chip,2,5,6,"8,038","20,165",830,"97,269",72.7%
005,2026-03-27,TWIS,MPL PH S17 Regular Season,Red,3,L,Jeymz,EXP,Phoveus,1,5,3,"9,452","38,935",0,"156,722",57.1%
005,2026-03-27,TWIS,MPL PH S17 Regular Season,Red,3,L,Raizen.,Jungle,Leomord,3,3,3,"15,062","57,629",520,"128,062",85.7%
005,2026-03-27,TWIS,MPL PH S17 Regular Season,Red,3,L,Minguin,Mid,Vexana,1,1,2,"12,717","65,477",740,"28,273",42.9%
005,2026-03-27,TWIS,MPL PH S17 Regular Season,Red,3,L,Netskie,Gold,Claude,1,4,1,"14,252","41,281","3,530","67,476",28.6%
005,2026-03-27,TWIS,MPL PH S17 Regular Season,Red,3,L,Perkziva,Roam,Khaleed,1,5,3,"11,264","21,993",0,"183,421",57.1%
006,2026-03-28,TNC,MPL PH S17 Regular Season,Blue,1,W,Jeymz,EXP,Gloo,2,0,4,"7,967","7,859","1,472","78,093",42.9%
006,2026-03-28,TNC,MPL PH S17 Regular Season,Blue,1,W,Raizen.,Jungle,Leomord,3,0,3,"12,321","30,731","5,202","48,558",42.9%
006,2026-03-28,TNC,MPL PH S17 Regular Season,Blue,1,W,Minguin,Mid,Valentina,6,0,6,"10,471","32,567","5,568","23,975",85.7%
